商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
603444,吉比特,36256387526.0,751.0,科技服务,SSE,套装软件,0.00655094,33.27968298,28.75520459,9.53372434,51.34725529,2,-3
601857,中国石油,916798061919.3348,432003.0,能源矿产,SSE,成品油,0.39362899,15.26162791,5.12973449,0.79055788,51.35289177,4,7
600311,ST荣华,1530879912.0,847.0,非能源矿业,SSE,贵金属,0.00071317,,-97.56525267,7.35599834,51.38662204,2,-6
688655,迅捷兴,2667799988.0,1001.0,电子科技,SSE,电子元器件,0.14239345,,15.87720802,6.94620511,51.39095426,2,3
900922,三毛B股,1179392006.0472,820.0,加工制造业,SSE,纺织品,0.00515696,,-6.65401653,1.39422548,51.40034024,2,5
603583,捷昌驱动,18242522806.0,2323.0,制造业,SSE,工业机械,0.02611497,41.06564194,15.07132576,5.10314325,51.40778951,15,-2
300948,冠中生态,4028087606.0,259.0,商业服务,SZSE,杂项商业服务,0.03163352,,14.6049362,8.62386806,51.40949788,7,1
002827,高争民爆,2950439884.0,1232.0,加工制造业,SZSE,特种工业品,0.31818993,57.04375667,6.84290154,3.87653121,51.41347425,5,-4
002482,广田集团,4273081215.999999,4044.0,工业服务,SZSE,工程建设,1.063578,,-10.40432349,0.6841073,51.41984875,5,-1
603859,能科股份,6026442189.0,849.0,电子科技,SSE,计算机外围设备,0.166499,39.63194216,9.29069764,3.58402346,51.42181926,2,-2
600173,卧龙地产,4469229799.0,228.0,金融,SSE,房地产开发,0.0,8.61463678,16.95283246,1.41286415,51.42627941,3,0
603456,九洲药业,34920227116.0,3586.0,健康科技,SSE,药品：其他,0.15246178,76.97933443,12.53931109,10.96885418,51.43058046,6,1
300615,欣天科技,2371823976.0,552.0,电子科技,SZSE,电子生产设备,0.0465683,498.81889764,0.99030142,4.95872944,51.44156906,2,-6
002831,裕同科技,26874034236.0,21728.0,加工制造业,SZSE,容器/包装,0.50857771,22.66988778,15.07457444,3.17195853,51.4438036,6,0
